composite_id,composite_name,component_1_trait,component_1_position,component_2_trait,component_2_position,component_3_trait,component_3_position,disqualifier_1_trait,disqualifier_1_position,disqualifier_2_trait,disqualifier_2_position,composite_family,short_definition,conversion_note
C290,Panic Spreader,neurochemical,excessive,persuasion,peak,perception,excessive,temperance,peak,discipline,peak,crisis_behavior,"Amplifies fear because threat feels vivid and contagious.",Native 3-trait addition.
C291,Disaster Scavenger,adaptability,peak,justice,deficient,resilience,peak,empathy,peak,loyalty,peak,crisis_crime,"Finds opportunity in wreckage, abandonment, and social breakdown.",Native 3-trait addition.
C292,Siege Rat,frugality,peak,resilience,peak,justice,deficient,generosity,peak,friendliness,peak,crisis_survival,"Survives enclosed scarcity by hoarding, hiding, and bending rules.",Native 3-trait addition.
C293,Famine Thief,justice,deficient,adaptability,peak,frugality,deficient,empathy,peak,discipline,peak,crisis_crime,"Steals under hunger before social trust can restrain need.",Native 3-trait addition.
C294,Opportunistic Collaborator,loyalty,deficient,adaptability,peak,ambition,peak,justice,peak,courage,peak,politics_survival,"Switches allegiance when occupation or regime change rewards it.",Native 3-trait addition.
C295,Clandestine Loyalist,courage,peak,loyalty,peak,adaptability,peak,perception,deficient,honesty,excessive,conflict_resistance,"Keeps dangerous commitments through fear, scrutiny, and uncertainty.",Native 3-trait addition.
C296,Partisan Fighter,courage,excessive,loyalty,excessive,civics,excessive,temperance,peak,empathy,peak,conflict_resistance,"Irregular combatant driven by cause, belonging, and danger tolerance.",Native 3-trait addition.
C297,Insurgent Connector,persuasion,peak,adaptability,peak,civics,excessive,honesty,peak,patience,deficient,conflict_resistance,"Builds hidden ties for irregular conflict and evasion.",Native 3-trait addition.
C298,Burn-It-All,discipline,peak,assertiveness,excessive,empathy,deficient,generosity,peak,humility,peak,warfare_cruelty,"Would ruin what others need rather than let an enemy benefit.",Native 3-trait addition.
C299,Pillager,courage,excessive,justice,deficient,temperance,deficient,empathy,peak,discipline,peak,warfare_crime,"Takes advantage of military chaos for theft, appetite, and violence.",Native 3-trait addition.
C300,Child Soldier Survivor,resilience,excessive,courage,peak,nurturance,deficient,empathy,peak,neurochemical,peak,warfare_trauma,"Early violence produces endurance, danger skills, and damaged care patterns.",Native 3-trait addition.
C301,Faithless Seducer,symmetry,peak,mating drive,excessive,honesty,deficient,loyalty,peak,empathy,peak,social_predation,"Attraction and appetite paired with low truthfulness and weak commitment.",Native 3-trait addition.
C302,Predatory Lecher,mating drive,excessive,empathy,deficient,assertiveness,excessive,temperance,peak,justice,peak,social_predation,"Desire becomes entitlement when care and restraint fall away.",Native 3-trait addition.
C303,Desire Exploiter,persuasion,excessive,mating drive,excessive,empathy,deficient,justice,peak,humility,peak,economy_criminal,"Turns other people's desire and vulnerability into leverage or trade.",Native 3-trait addition.
C304,Vice Opportunist,persuasion,peak,mating drive,peak,frugality,peak,justice,deficient,empathy,deficient,economy_vice,"Treats sex, appetite, money, and social need as manageable exchange.",Native 3-trait addition.
C305,Chaste Zealot,mating drive,deficient,temperance,excessive,justice,excessive,empathy,peak,adaptability,peak,religion_extreme,"Makes purity, appetite control, and moral judgment into identity.",Native 3-trait addition.
C306,Cold Spouse,mating drive,deficient,loyalty,peak,neurochemical,deficient,empathy,deficient,nurturance,deficient,romantic_failure,"Can remain attached while offering little warmth or desire.",Native 3-trait addition.
C307,Protected Charmer,symmetry,peak,modesty,deficient,persuasion,peak,humility,peak,loyalty,excessive,status_romantic,"Converts charm and beauty into protection, favors, or special treatment.",Native 3-trait addition.
C308,Decorative Partner,symmetry,peak,modesty,peak,ambition,peak,humility,deficient,mating drive,deficient,status_romantic,"Treats partnership as display, alliance, or rank more than intimacy.",Native 3-trait addition.
C309,Jealous Seducer,mating drive,excessive,loyalty,excessive,modesty,deficient,temperance,peak,empathy,peak,social_predation,"Seeks conquest while demanding exclusive devotion.",Native 3-trait addition.
C310,Libertine,mating drive,excessive,temperance,deficient,modesty,deficient,discipline,peak,loyalty,peak,status_vice,"Lets pleasure, appetite, and display outrun restraint.",Native 3-trait addition.
C311,Narcissistic Darling,symmetry,peak,humility,deficient,friendliness,peak,empathy,peak,honesty,peak,status_social,"Wins affection while quietly making admiration the center of life.",Native 3-trait addition.
C312,Grandiose Fraud,humility,deficient,persuasion,excessive,honesty,deficient,justice,peak,modesty,peak,crime_fraud,"Sells a false self with confidence and theatrical superiority.",Native 3-trait addition.
C313,Self-Anointed,ambition,excessive,humility,deficient,symmetry,peak,civics,peak,honesty,peak,leadership_usurpation,"Feels chosen for status or command before legitimacy catches up.",Native 3-trait addition.
C314,Malleable Icon,assertiveness,deficient,symmetry,peak,civics,peak,ambition,excessive,courage,excessive,leadership_weak,"Looks acceptable enough for stronger personalities to use as a front.",Native 3-trait addition.
C315,Hidden Hand,humility,peak,intellect,peak,persuasion,peak,ambition,deficient,friendliness,deficient,court_intrigue,"Prefers indirect influence to visible command.",Native 3-trait addition.
C316,Flatterer,friendliness,excessive,persuasion,peak,honesty,deficient,humility,peak,justice,peak,social_deception,"Survives by feeding vanity more than truth.",Native 3-trait addition.
C317,Malicious Wit,wit,excessive,empathy,deficient,creativity,peak,friendliness,peak,temperance,peak,social_cruelty,"Turns quick humor into humiliation and social injury.",Native 3-trait addition.
C318,Satirist,wit,peak,justice,peak,courage,peak,persuasion,deficient,civics,deficient,culture_social,"Uses humor to expose hypocrisy without needing official permission.",Native 3-trait addition.
C319,Seditious Mockery,wit,peak,civics,excessive,creativity,peak,discipline,deficient,courage,deficient,politics_communication,"Spreads memorable attacks against authority through words and ridicule.",Native 3-trait addition.
C320,Fool's Mask,wit,peak,perception,peak,honesty,deficient,discipline,peak,loyalty,peak,intelligence_deception,"Hides observation and deception inside entertainment or harmlessness.",Native 3-trait addition.
C321,Gallows Humor Survivor,wit,peak,resilience,peak,neurochemical,peak,empathy,excessive,temperance,deficient,temperament_survival,"Uses humor to keep functioning near fear, grief, or violence.",Native 3-trait addition.
C322,Cruel Comedian,wit,excessive,empathy,deficient,modesty,deficient,justice,peak,friendliness,peak,social_cruelty,"Needs laughter enough to make other people the cost.",Native 3-trait addition.
C323,Scheming Parasite,ambition,deficient,persuasion,excessive,empathy,deficient,discipline,peak,frugality,peak,social_predation,"Avoids work by attaching to useful people and manipulating their needs.",Native 3-trait addition.
C324,Performative Needy,ambition,deficient,persuasion,peak,modesty,deficient,discipline,peak,honesty,peak,survival_low_status,"Turns need, performance, and shamelessness into support from others.",Native 3-trait addition.
C325,Polished Parasite,ambition,deficient,symmetry,peak,generosity,deficient,humility,peak,discipline,peak,status_failure,"Has social polish without the drive or generosity to reciprocate.",Native 3-trait addition.
C326,Spoiled Dependent,ambition,deficient,generosity,deficient,temperance,deficient,humility,peak,discipline,peak,status_failure,"Consumes care, resources, or advantage with little discipline or obligation.",Native 3-trait addition.
C327,Prodigal Temperament,frugality,deficient,generosity,excessive,symmetry,peak,discipline,peak,temperance,peak,status_economy,"Spends attention, resources, and status lavishly until support thins.",Native 3-trait addition.
C328,Generous Fool,generosity,excessive,intellect,deficient,empathy,peak,frugality,peak,perception,peak,temperament_social,"Gives warmly and unwisely to whoever reaches the heart first.",Native 3-trait addition.
C329,Favor-Buyer,generosity,excessive,persuasion,peak,loyalty,deficient,frugality,peak,honesty,peak,leadership_corruption,"Creates loyalty through gifts or favors instead of trust or duty.",Native 3-trait addition.
C330,Spoils-Hungry,generosity,excessive,courage,excessive,ambition,excessive,frugality,peak,temperance,peak,leadership_combat,"Uses spoils, favors, and danger to pull people into orbit.",Native 3-trait addition.
C331,Miserly Controller,frugality,excessive,nurturance,peak,assertiveness,excessive,generosity,peak,empathy,peak,care_coercion,"Uses provision or scarcity as control over resources and obedience.",Native 3-trait addition.
C332,Envious Saboteur,generosity,deficient,justice,deficient,creativity,excessive,empathy,peak,temperance,peak,crime_destruction,"Damages what others have rather than building something shared.",Native 3-trait addition.
C333,Bitter Informer,generosity,deficient,perception,peak,honesty,deficient,loyalty,peak,justice,peak,intelligence_deception,"Turns resentment and observation into betrayal for advantage.",Native 3-trait addition.
C334,Selfless Moral Anchor,humility,peak,generosity,peak,empathy,peak,ambition,excessive,justice,deficient,religion_caregiving,"Low-ego service that can become a moral anchor for others.",Native 3-trait addition.
C335,Self-Effacing Genius,humility,excessive,intellect,peak,creativity,peak,assertiveness,peak,resilience,deficient,knowledge_vulnerability,"Great talent hidden by withdrawal, deference, or low self-claim.",Native 3-trait addition.
C336,Unseen Toiler,humility,excessive,discipline,peak,physical,peak,ambition,peak,assertiveness,peak,labor_production,"Does necessary effort without seeking recognition or leverage.",Native 3-trait addition.
C337,Vowbound Recluse,humility,excessive,temperance,excessive,loyalty,excessive,friendliness,peak,adaptability,peak,religion_discipline,"Withdraws into oath, restraint, and single-minded devotion.",Native 3-trait addition.
C338,Shame-Driven Avenger,modesty,excessive,justice,excessive,neurochemical,excessive,temperance,peak,empathy,peak,violence_revenge,"Turns humiliation into a moral demand for retaliation.",Native 3-trait addition.
C339,Public Shamer,modesty,excessive,justice,excessive,persuasion,excessive,empathy,peak,humility,peak,politics_cruelty,"Uses moral exposure to discipline others in front of the group.",Native 3-trait addition.
C340,Shameless Swindler,modesty,deficient,honesty,deficient,persuasion,excessive,justice,peak,empathy,peak,crime_fraud,"Lies boldly because embarrassment is no obstacle.",Native 3-trait addition.
C341,Brazen Thug,modesty,deficient,physical,peak,assertiveness,excessive,temperance,peak,courage,deficient,violence_street,"Uses open intimidation without much fear of social disgrace.",Native 3-trait addition.
C342,Provocateur Artist,modesty,deficient,creativity,excessive,civics,excessive,discipline,peak,empathy,deficient,culture_social,"Makes art by offending norms and daring reaction.",Native 3-trait addition.
C343,Fragile Bully,resilience,deficient,assertiveness,excessive,empathy,deficient,courage,peak,humility,peak,social_predation,"Hurts others to manage a weak inner tolerance for stress.",Native 3-trait addition.
C344,Collapse-Prone Striver,resilience,deficient,ambition,excessive,persuasion,peak,temperance,peak,discipline,peak,leadership_failure,"Can climb toward authority or attention but breaks under sustained pressure.",Native 3-trait addition.
C345,Shell-Shocked Veteran,neurochemical,excessive,resilience,deficient,courage,peak,empathy,peak,discipline,peak,warfare_trauma,"Carries danger experience as instability rather than hardening.",Native 3-trait addition.
C346,Hardened Criminal,resilience,excessive,justice,deficient,empathy,deficient,temperance,peak,friendliness,peak,criminal_survival,"Survives punishment, danger, and guilt without much softening.",Native 3-trait addition.
C347,Crisis Stabilizer,resilience,peak,courage,peak,persuasion,peak,ambition,excessive,empathy,deficient,crisis_leadership,"Holds people together during collapse without needing normal order.",Native 3-trait addition.
C348,Taboo Survivor,resilience,peak,justice,deficient,temperance,deficient,empathy,peak,civics,peak,crisis_survival,"Survives extreme scarcity by crossing boundaries others still fear.",Native 3-trait addition.
C349,Cowed Toiler,assertiveness,deficient,courage,deficient,discipline,peak,ambition,peak,resilience,deficient,labor_low_agency,"Keeps doing what is demanded because resistance feels more dangerous than submission.",Native 3-trait addition.
C350,Captive Collaborator,courage,deficient,loyalty,deficient,empathy,peak,justice,peak,civics,peak,politics_survival,"Cooperates with captors or occupiers out of fear and social reading.",Native 3-trait addition.
C351,Disciplined Radical,civics,excessive,persuasion,peak,discipline,peak,temperance,deficient,humility,deficient,politics_organization,"Turns opposition to the existing order into durable action.",Native 3-trait addition.
C352,Secret Cell Temperament,civics,excessive,loyalty,peak,discipline,peak,honesty,excessive,friendliness,deficient,conflict_subversion,"Maintains hidden commitment structures under pressure.",Native 3-trait addition.
C353,Honor-Bound Violence,justice,excessive,courage,peak,discipline,peak,empathy,peak,adaptability,peak,violence_revenge,"Treats violence as grim duty when honor or obligation demands it.",Native 3-trait addition.
C354,Cold Predator,empathy,deficient,discipline,peak,frugality,peak,justice,peak,loyalty,excessive,crime_violent,"Makes harm controlled, useful, and emotionally distant.",Native 3-trait addition.
C355,Kidnapper,justice,deficient,physical,peak,patience,peak,empathy,peak,honesty,peak,crime_coercion,"Takes bodies as leverage through planning and force.",Native 3-trait addition.
C356,Extortionist,persuasion,excessive,assertiveness,excessive,honesty,deficient,justice,peak,generosity,peak,crime_coercion,"Extracts compliance through threat, pressure, and plausible speech.",Native 3-trait addition.
C357,Devotional Entrapper,persuasion,excessive,empathy,peak,loyalty,excessive,honesty,peak,humility,peak,religion_manipulation,"Finds lonely needs and binds them to a demanding group.",Native 3-trait addition.
C358,Orthodoxy Persecutor,civics,deficient,justice,excessive,perception,peak,empathy,peak,curiosity,peak,religion_coercion,"Defends inherited order by searching for forbidden deviation.",Native 3-trait addition.
C359,Miracle Faker,persuasion,excessive,honesty,deficient,nurturance,deficient,justice,peak,empathy,peak,health_fraud,"Sells false hope by borrowing the language of care.",Native 3-trait addition.
C360,Combat Butcher,physical,peak,empathy,deficient,temperance,deficient,discipline,peak,justice,peak,warfare_crime,"Turns combat opportunity into uncontrolled cruelty.",Native 3-trait addition.
C361,Gentle Intimidator,persuasion,peak,assertiveness,excessive,empathy,deficient,honesty,peak,humility,peak,social_predation,"Sounds gentle until refusal appears.",Native 3-trait addition.
C362,Sweet-Tongued Backstabber,friendliness,peak,wit,peak,honesty,deficient,justice,peak,empathy,peak,social_deception,"Wraps a cutting agenda in sweetness and quick humor.",Native 3-trait addition.
C363,Charming Manipulator,symmetry,peak,persuasion,excessive,empathy,deficient,temperance,peak,loyalty,peak,social_predation,"Looks inviting while calculating the other person's need.",Native 3-trait addition.
C364,Thin-Skinned Bully,resilience,deficient,assertiveness,excessive,courage,deficient,empathy,peak,humility,peak,social_predation,"Strikes downward because any challenge feels like injury.",Native 3-trait addition.
C365,Moral Scold,justice,excessive,modesty,excessive,empathy,deficient,humility,peak,adaptability,peak,religion_coercion,"Turns moral sensitivity into public correction and contempt.",Native 3-trait addition.
C366,Caring Controller,nurturance,excessive,assertiveness,excessive,empathy,deficient,humility,peak,temperance,peak,care_coercion,"Controls others in the language of care.",Native 3-trait addition.
C367,Petty Tyrant,assertiveness,excessive,humility,deficient,patience,deficient,empathy,peak,discipline,peak,social_predation,"Needs small obediences to feel large.",Native 3-trait addition.
C368,Dramatic Leaver,neurochemical,excessive,loyalty,excessive,patience,deficient,temperance,peak,empathy,peak,temperament_failure,"Turns attachment into sudden exits and dramatic ruptures.",Native 3-trait addition.
C369,Cold Truth-Teller,honesty,excessive,empathy,deficient,neurochemical,deficient,friendliness,peak,wit,peak,social_cruelty,"Tells hard truths in a way that leaves warmth dead.",Native 3-trait addition.
C370,Last Word Addict,wit,excessive,assertiveness,excessive,patience,deficient,humility,peak,temperance,peak,social_conflict,"Cannot let a contest end while speech remains.",Native 3-trait addition.
C371,Reckless Rescuer,empathy,peak,courage,excessive,generosity,excessive,temperance,peak,discipline,deficient,temperament_social,"Rushes to rescue before judgment or limits can catch up.",Native 3-trait addition.
C372,Righteous Avenger,justice,excessive,courage,peak,empathy,peak,temperance,peak,humility,deficient,ethics_conflict,"Can make harm feel righteous when protecting the innocent.",Native 3-trait addition.
C373,Guilt-Tripping Caregiver,nurturance,peak,persuasion,excessive,empathy,deficient,justice,peak,honesty,peak,care_coercion,"Makes people pay emotionally for being cared for.",Native 3-trait addition.
C374,Joking Coward,wit,peak,courage,deficient,honesty,deficient,assertiveness,peak,loyalty,peak,social_deception,"Jokes and dodges when courage or truth would cost something.",Native 3-trait addition.
C375,Panic Herald,perception,excessive,neurochemical,excessive,persuasion,peak,temperance,peak,discipline,peak,crisis_behavior,"Makes danger feel immediate to everyone nearby.",Native 3-trait addition.
C376,Rule Tester,civics,excessive,curiosity,peak,courage,peak,patience,peak,loyalty,peak,culture_conflict,"Presses against every rule to find where it gives.",Native 3-trait addition.
C377,Submissive Hardliner,loyalty,excessive,assertiveness,deficient,civics,deficient,curiosity,peak,justice,excessive,temperament_institution,"Finds comfort in submission to harsh order.",Native 3-trait addition.
C378,Fanatical Loyalist,loyalty,excessive,courage,excessive,justice,excessive,adaptability,peak,temperance,peak,ideology_conflict,"Lets vows and causes outrun mercy or self-preservation.",Native 3-trait addition.
C379,Overgiving Rescuer,empathy,excessive,generosity,excessive,discipline,deficient,temperance,peak,frugality,peak,care_failure,"Gives too much because suffering nearby becomes unbearable.",Native 3-trait addition.
C380,Reckless Compassion,empathy,excessive,generosity,excessive,temperance,deficient,frugality,peak,focus,peak,care_failure,"Turns compassion into costly disorder.",Native 3-trait addition.
C381,Patient Grudge,justice,excessive,patience,peak,empathy,deficient,generosity,peak,adaptability,peak,violence_revenge,"Can wait a long time to make an old wrong hurt back.",Native 3-trait addition.
C382,Slow Fuse,patience,peak,neurochemical,excessive,focus,peak,temperance,peak,friendliness,peak,temperament_failure,"Looks controlled until pressure finally finds fire.",Native 3-trait addition.
C383,Short Fuse,patience,deficient,neurochemical,excessive,assertiveness,excessive,temperance,peak,empathy,peak,temperament_failure,"Turns irritation into action before thought can intervene.",Native 3-trait addition.
C384,Pleasant Neglect,friendliness,peak,honesty,deficient,discipline,deficient,justice,peak,perception,peak,social_deception,"Feels pleasant while quietly letting obligations decay.",Native 3-trait addition.
C385,Hollow Charm,persuasion,peak,empathy,deficient,humility,deficient,honesty,peak,loyalty,peak,social_predation,"Can win people without truly meeting them.",Native 3-trait addition.
C386,Unstable Visionary,creativity,excessive,curiosity,excessive,neurochemical,excessive,discipline,peak,focus,peak,creativity_instability,"Lives where invention and instability blur together.",Native 3-trait addition.
C387,Scattered Genius,intellect,peak,focus,deficient,curiosity,excessive,discipline,peak,patience,peak,knowledge_vulnerability,"Generates insight faster than it can be ordered.",Native 3-trait addition.
C388,False Warmth,neurochemical,deficient,friendliness,peak,empathy,deficient,nurturance,peak,honesty,deficient,social_deception,"Performs warmth without being moved by it.",Native 3-trait addition.
C389,Consuming Caregiver,nurturance,excessive,neurochemical,excessive,loyalty,excessive,temperance,peak,adaptability,peak,care_coercion,"Turns care and belonging into a consuming crisis.",Native 3-trait addition.
C390,Self-Denying Survivor,humility,excessive,resilience,peak,ambition,deficient,assertiveness,peak,generosity,deficient,temperament_survival,"Survives neglect by wanting very little for the self.",Native 3-trait addition.
C391,Rank Hunger,ambition,excessive,humility,deficient,frugality,excessive,generosity,peak,loyalty,peak,status_social,"Feels starved until position or recognition is secured.",Native 3-trait addition.
C392,Applause Hunger,modesty,deficient,symmetry,peak,friendliness,excessive,humility,peak,discipline,peak,status_social,"Needs visible approval like food.",Native 3-trait addition.
C393,Shame-Driven Perfectionist,modesty,excessive,neurochemical,excessive,discipline,excessive,empathy,peak,adaptability,peak,temperament_failure,"Converts embarrassment into self-punishment and control.",Native 3-trait addition.
C394,Scorekeeper,frugality,excessive,justice,excessive,empathy,deficient,generosity,peak,friendliness,peak,economy_cruelty,"Sees every favor as an account to be settled.",Native 3-trait addition.
C395,Emotional Taker,generosity,deficient,ambition,deficient,friendliness,deficient,empathy,peak,nurturance,peak,temperament_failure,"Receives without offering much warmth, drive, or return.",Native 3-trait addition.
C396,Bottomless Want,frugality,deficient,generosity,deficient,mating drive,excessive,temperance,peak,discipline,peak,status_vice,"Appetite keeps expanding after each satisfaction.",Native 3-trait addition.
C397,Generous Indulgence,generosity,excessive,temperance,deficient,friendliness,peak,frugality,peak,discipline,peak,culture_social,"Turns welcome and appetite into glorious excess.",Native 3-trait addition.
C398,Sweet Withholder,friendliness,peak,generosity,deficient,honesty,deficient,empathy,peak,justice,peak,social_deception,"Sweetens the room while keeping the best back.",Native 3-trait addition.
C399,Cold Survivor,neurochemical,deficient,resilience,excessive,empathy,deficient,nurturance,peak,friendliness,peak,temperament_survival,"Stays eerily steady where others would break or grieve.",Native 3-trait addition.
C400,Chaotic Joker,wit,excessive,temperance,deficient,justice,deficient,discipline,peak,empathy,peak,social_instability,"Makes a joke while everything comes apart.",Native 3-trait addition.
C401,Destructive Spark,creativity,excessive,patience,deficient,justice,deficient,temperance,peak,empathy,peak,crime_destruction,"Needs only a spark of grievance to make damage feel inspired.",Native 3-trait addition.
C402,Cold Obsessive,focus,excessive,neurochemical,deficient,ambition,peak,empathy,peak,adaptability,deficient,temperament_work,"Burns cold, narrow, and long toward one aim.",Native 3-trait addition.
C403,Pious Aggressor,justice,excessive,persuasion,excessive,empathy,deficient,humility,peak,honesty,peak,religion_coercion,"Bites in the name of holiness or moral order.",Native 3-trait addition.
C404,Sacred Cruelty,justice,excessive,civics,deficient,empathy,deficient,adaptability,peak,temperance,peak,religion_coercion,"Needs authority to make cruelty feel clean.",Native 3-trait addition.
C405,Destructive Talent,creativity,peak,ambition,excessive,temperance,deficient,discipline,peak,humility,peak,creativity_instability,"Can make something dazzling while wrecking the life around it.",Native 3-trait addition.
C406,Chronic Doubter,courage,deficient,curiosity,excessive,neurochemical,excessive,focus,peak,temperance,peak,temperament_failure,"Questions everything and then questions the answer.",Native 3-trait addition.
C407,Fence-Sitter,adaptability,excessive,courage,deficient,assertiveness,deficient,justice,peak,loyalty,peak,temperament_failure,"Keeps options open until the moment for action passes.",Native 3-trait addition.
C408,Opportunistic Chameleon,adaptability,excessive,loyalty,deficient,honesty,deficient,discipline,peak,justice,peak,politics_survival,"Turns with the strongest wind and calls it prudence.",Native 3-trait addition.
C409,Cold Loyalist,loyalty,excessive,empathy,deficient,neurochemical,deficient,justice,peak,curiosity,peak,violence_enforcement,"Obeys with little warmth and fewer questions.",Native 3-trait addition.
C410,Crowd Agitator,wit,excessive,persuasion,peak,civics,excessive,temperance,peak,empathy,peak,violence_collective,"Can turn a crowd from mutter to motion.",Native 3-trait addition.
C411,Grudge Nurturer,justice,excessive,patience,peak,loyalty,excessive,generosity,peak,adaptability,peak,temperament_failure,"Waters old injuries until they bear fruit.",Native 3-trait addition.
C412,Stern Mercy,justice,peak,empathy,peak,assertiveness,peak,temperance,deficient,courage,deficient,ethics_conflict,"Can be kind without becoming soft.",Native 3-trait addition.
C413,Merciful Punisher,empathy,peak,justice,excessive,discipline,peak,temperance,peak,humility,deficient,ethics_conflict,"Feels sorrow and still lowers the blade.",Native 3-trait addition.
C414,Doom-Seer,perception,excessive,neurochemical,excessive,creativity,excessive,honesty,peak,temperance,peak,spiritual_culture,"Sees patterns dark enough to frighten the room.",Native 3-trait addition.
C415,Paranoid Tester,perception,excessive,honesty,deficient,neurochemical,excessive,friendliness,peak,humility,peak,social_deception,"Turns uncertainty into accusation and secret testing.",Native 3-trait addition.
C416,Guarded Loner,friendliness,deficient,humility,excessive,resilience,peak,persuasion,peak,nurturance,peak,solitude_work_style,"Can endure isolation without offering easy entry.",Native 3-trait addition.
C417,Hardened Heart,empathy,deficient,generosity,deficient,resilience,excessive,friendliness,peak,nurturance,peak,temperament_survival,"Hardens around deprivation until tenderness tastes foolish.",Native 3-trait addition.
C418,Fiery Giver,courage,excessive,generosity,excessive,neurochemical,excessive,temperance,peak,frugality,peak,temperament_social,"Runs hot with bravery, feeling, and dangerous generosity.",Native 3-trait addition.
C419,Self-Righteous Harm,justice,excessive,humility,deficient,honesty,excessive,empathy,peak,adaptability,peak,ethics_failure,"Needs to be innocent even while causing harm.",Native 3-trait addition.
C420,Gentle Fraud,empathy,peak,honesty,deficient,persuasion,peak,justice,peak,discipline,deficient,social_deception,"Lies softly enough that the lie feels like comfort.",Native 3-trait addition.
C421,Restless Lover,mating drive,excessive,curiosity,peak,loyalty,deficient,temperance,peak,honesty,peak,romantic_failure,"Confuses novelty, desire, and freedom for love.",Native 3-trait addition.
C422,Devoted Touch,mating drive,peak,loyalty,peak,nurturance,peak,empathy,deficient,modesty,deficient,romantic_social,"Shows attachment through warmth, fidelity, and physical closeness.",Native 3-trait addition.
C423,Starved for Affection,mating drive,deficient,nurturance,excessive,friendliness,excessive,temperance,peak,resilience,peak,romantic_vulnerability,"Needs closeness badly while struggling to ask for it cleanly.",Native 3-trait addition.
C424,Cold Flirt,mating drive,peak,persuasion,peak,neurochemical,deficient,empathy,peak,loyalty,peak,social_romantic,"Can invite desire without becoming emotionally involved.",Native 3-trait addition.
C425,Possessive Lover,mating drive,excessive,loyalty,excessive,perception,excessive,temperance,peak,humility,peak,romantic_failure,"Turns desire and attachment into monitoring and claim.",Native 3-trait addition.
C426,Shy Romantic,mating drive,peak,modesty,excessive,empathy,peak,persuasion,peak,courage,deficient,romantic_social,"Feels deeply but approaches desire through hesitation and care.",Native 3-trait addition.
C427,Sharp-Tongued Helper,wit,peak,nurturance,peak,honesty,excessive,empathy,deficient,friendliness,deficient,care_social,"Tries to help while saying the difficult thing too sharply.",Native 3-trait addition.
C428,Comic Deflector,wit,peak,courage,deficient,neurochemical,peak,honesty,excessive,discipline,deficient,temperament_social,"Uses humor to escape fear, grief, or accountability.",Native 3-trait addition.
C429,Playful Peacemaker,wit,peak,friendliness,peak,patience,peak,justice,excessive,assertiveness,excessive,social_conflict,"Defuses tension with timing, warmth, and patience.",Native 3-trait addition.
C430,Mocking Rebel,wit,excessive,civics,excessive,modesty,deficient,empathy,peak,discipline,peak,culture_conflict,"Uses ridicule to puncture authority and social rules.",Native 3-trait addition.
C431,Big Softie,physical,peak,nurturance,peak,humility,peak,assertiveness,excessive,empathy,deficient,care_security,"Looks formidable but moves through the world as a protector.",Native 3-trait addition.
C432,Heavy-Handed Helper,physical,peak,nurturance,peak,assertiveness,excessive,empathy,peak,temperance,deficient,care_coercion,"Helps with force before asking whether force is wanted.",Native 3-trait addition.
C433,Frail Firebrand,physical,deficient,courage,excessive,persuasion,peak,resilience,peak,temperance,peak,temperament_status,"A weak body wrapped around reckless conviction.",Native 3-trait addition.
C434,Beautiful Menace,symmetry,peak,assertiveness,excessive,empathy,deficient,justice,peak,modesty,peak,social_predation,"Uses beauty and pressure without much concern for the person underneath.",Native 3-trait addition.
C435,Plainspoken Plainface,symmetry,deficient,honesty,excessive,humility,peak,persuasion,peak,modesty,deficient,temperament_social,"Lacks polish and compensates with disarming candor.",Native 3-trait addition.
C436,Quiet Magnet,symmetry,peak,modesty,excessive,friendliness,peak,ambition,excessive,mating drive,excessive,social_romantic,"Draws attention without chasing it.",Native 3-trait addition.
C437,Pinched Miser,frugality,excessive,temperance,excessive,generosity,deficient,friendliness,peak,nurturance,peak,economy_cruelty,"Turns restraint and saving into a cramped moral world.",Native 3-trait addition.
C438,Resourceful Scrapper,frugality,peak,adaptability,peak,resilience,peak,generosity,excessive,discipline,deficient,temperament_survival,"Makes do, recovers quickly, and finds use in scraps.",Native 3-trait addition.
C439,Wasteful Charmer,frugality,deficient,persuasion,peak,friendliness,peak,discipline,peak,honesty,deficient,status_vice,"Spends freely because charm keeps smoothing the consequences.",Native 3-trait addition.
C440,Hardy Optimist,resilience,peak,friendliness,peak,courage,peak,perception,excessive,neurochemical,excessive,temperament_survival,"Keeps spirits up without losing nerve.",Native 3-trait addition.
C441,Numb Survivor,resilience,excessive,neurochemical,deficient,empathy,deficient,nurturance,peak,friendliness,peak,temperament_survival,"Survives by feeling less than the moment deserves.",Native 3-trait addition.
C442,Fragile Dreamer,resilience,deficient,creativity,peak,curiosity,peak,discipline,peak,temperance,peak,knowledge_vulnerability,"Imagines beautifully but needs protection from pressure.",Native 3-trait addition.
C443,Fierce Caretaker,nurturance,peak,courage,excessive,assertiveness,peak,empathy,deficient,temperance,deficient,care_security,"Protects dependents with heat, speed, and teeth.",Native 3-trait addition.
C444,Smiling Neglect,nurturance,deficient,friendliness,peak,honesty,deficient,discipline,peak,empathy,peak,care_failure,"Seems pleasant while failing the people who need care.",Native 3-trait addition.
C445,Humble Strategist,humility,peak,intellect,peak,patience,peak,ambition,excessive,assertiveness,deficient,knowledge_leadership,"Thinks several moves ahead without needing to be seen as clever.",Native 3-trait addition.
C446,Vain Intellectual,intellect,peak,humility,deficient,honesty,excessive,empathy,peak,adaptability,peak,knowledge_anti_social,"Uses intelligence and truth as a mirror for superiority.",Native 3-trait addition.
